ano,id_municipio,n_alunos_teste,prob_media_prevista,taxa_observada,meta,sigla_uf,gap_previsto_vs_meta
2024,2100808,109,0.49480992837559673,0.3394495412844037,80.0,MA,-30.519007162440325
2024,4305850,12,0.4961478038539755,0.4166666666666667,80.0,RS,-30.38521961460245
2024,4304408,467,0.49017928327064636,0.4732334047109208,78.87,RS,-29.852071672935367
2024,2513109,37,0.5054257291466892,0.40540540540540543,80.0,PB,-29.457427085331084
2024,4305124,41,0.47049919228491255,0.3902439024390244,75.82,RS,-28.770080771508738
2024,4314464,17,0.4666291460811066,0.35294117647058826,75.04,RS,-28.377085391889345
2024,2207553,34,0.5228295927864639,0.5,80.0,PI,-27.717040721353612
2024,4323507,22,0.5242369485385963,0.7272727272727273,80.0,RS,-27.57630514614037
2024,4322855,15,0.5261792213344527,0.4666666666666667,80.0,RS,-27.38207786655473
2024,4319901,826,0.474350534550081,0.4467312348668281,73.9,RS,-26.464946544991903
2024,4303707,44,0.535426273720799,0.5,80.0,RS,-26.4573726279201
2024,4309902,53,0.5256452303431747,0.49056603773584906,78.69,RS,-26.12547696568253
2024,2106607,269,0.47565347915838674,0.3420074349442379,73.54,MA,-25.974652084161335
2024,2933257,53,0.4385664123569936,0.3584905660377358,69.8,BA,-25.943358764300633
2024,4304507,338,0.5426606736459636,0.5680473372781065,79.74,RS,-25.473932635403635
2024,2511707,38,0.5457925385091086,0.5526315789473685,80.0,PB,-25.42074614908914
2024,4307401,37,0.548090149423301,0.4864864864864865,80.0,RS,-25.1909850576699
2024,4311254,35,0.5512964483959968,0.6571428571428571,80.0,RS,-24.870355160400322
2024,4312054,25,0.5164159647081016,0.48,76.49,RS,-24.848403529189838
2024,2207793,27,0.551520380411928,0.5185185185185185,80.0,PI,-24.847961958807204
2024,4301651,32,0.555668421831897,0.53125,80.0,RS,-24.4331578168103
2024,2513968,22,0.5567509880293878,0.5454545454545454,80.0,PB,-24.324901197061216
2024,4314076,52,0.5607370700166672,0.5769230769230769,80.0,RS,-23.92629299833328
2024,3138104,50,0.5632173776264281,0.48,80.0,MG,-23.67826223735719
2024,2411601,56,0.3777630547995119,0.32142857142857145,61.45,RN,-23.673694520048812
2024,2201804,20,0.5633739250071239,0.55,80.0,PI,-23.66260749928761
2024,4313060,244,0.498205500780189,0.45491803278688525,73.32,RS,-23.499449921981096
2024,4303558,36,0.5666789516541193,0.5555555555555556,80.0,RS,-23.332104834588073
2024,3513306,17,0.5674972717721927,0.47058823529411764,80.0,SP,-23.25027282278073
2024,4314027,33,0.5679890671844234,0.5454545454545454,80.0,RS,-23.201093281557654
2024,4321808,211,0.5597294857691725,0.5213270142180095,79.17,RS,-23.197051423082755
2024,2203859,22,0.568291178312856,0.5454545454545454,80.0,PI,-23.1708821687144
2024,4306403,341,0.5556034763756144,0.5777126099706745,78.68,RS,-23.119652362438572
2024,2209302,34,0.5697534883345647,0.5588235294117647,80.0,PI,-23.024651166543528
2024,2413607,73,0.5045480565373225,0.4794520547945205,72.95,RN,-22.495194346267752
2024,4306205,59,0.47665143354825273,0.3728813559322034,70.11,RS,-22.444856645174724
2024,2611408,83,0.5552495041023301,0.5060240963855421,77.9,PE,-22.375049589766995
2024,3554755,19,0.5769223505190566,0.47368421052631576,80.0,SP,-22.307764948094338
2024,4300661,15,0.4829819430742711,0.3333333333333333,70.55,RS,-22.251805692572887
2024,4318804,355,0.5721047964582884,0.5633802816901409,79.22,RS,-22.00952035417116
2024,4312302,54,0.5724691376487699,0.46296296296296297,79.13,RS,-21.883086235123002
2024,2912806,148,0.4195208364652476,0.3783783783783784,63.71,BA,-21.75791635347524
2024,4313904,513,0.5426874343063044,0.5497076023391813,76.0,RS,-21.731256569369563
2024,2505907,21,0.46717142953852253,0.38095238095238093,67.81,PB,-21.09285704614775
2024,2501302,203,0.48873998296700694,0.4433497536945813,69.89,PB,-21.01600170329931
2024,3100708,20,0.5938608492969601,0.55,80.0,MG,-20.61391507030399
2024,4108502,146,0.5862322959776917,0.5616438356164384,79.19,PR,-20.56677040223083
2024,4316105,78,0.5563937536615666,0.5256410256410257,76.01,RS,-20.37062463384334
2024,2501906,99,0.40386545656752204,0.35353535353535354,60.65,PB,-20.263454343247794
2024,4305207,113,0.5581583848331945,0.48672566371681414,75.82,RS,-20.004161516680547
2024,4320107,214,0.5282401768927252,0.5,72.81,RS,-19.985982310727486
2024,2917334,94,0.341573344399349,0.2553191489361702,54.11,BA,-19.9526655600651
2024,2402402,58,0.4793796203476473,0.29310344827586204,67.88,RN,-19.942037965235265
2024,2411106,20,0.41901579820878715,0.35,61.84,RN,-19.938420179121287
2024,1101476,59,0.6016617227718718,0.576271186440678,80.0,RO,-19.83382772281282
2024,2507408,54,0.38089033305606224,0.24074074074074073,57.85,PB,-19.76096669439378
2024,2506806,128,0.41756023903115114,0.46875,61.08,PB,-19.323976096884884
2024,4314035,48,0.5490642039744019,0.5416666666666666,74.1,RS,-19.1935796025598
2024,2919959,38,0.45106772837518944,0.47368421052631576,64.12,BA,-19.01322716248106
2024,2904209,57,0.4605177760164073,0.47368421052631576,65.03,BA,-18.97822239835927
2024,4322608,488,0.5955842902406245,0.610655737704918,78.41,RS,-18.85157097593754
2024,4306908,241,0.47749557932752024,0.5186721991701245,66.52,RS,-18.77044206724797
2024,1506559,158,0.4159351261217534,0.4050632911392405,60.36,PA,-18.76648738782466
2024,3137106,37,0.6168404313822363,0.5675675675675675,80.0,MG,-18.31595686177637
2024,4313011,35,0.6172723008345072,0.6,80.0,RS,-18.27276991654928
2024,4124004,55,0.6033481935911634,0.5454545454545454,78.52,PR,-18.18518064088365
2024,2407708,120,0.44174596507327346,0.44166666666666665,62.22,RN,-18.045403492672655
2024,4300034,46,0.5371072327717274,0.5217391304347826,71.55,RS,-17.83927672282725
2024,1100338,404,0.4811084611173431,0.45792079207920794,65.81,RO,-17.69915388826569
2024,3107000,29,0.6248905347559919,0.5862068965517241,80.0,MG,-17.510946524400815
2024,4307815,25,0.6254213473952436,0.6,80.0,RS,-17.457865260475643
2024,2100303,212,0.5240857263612547,0.45754716981132076,69.85,MA,-17.441427363874524
2024,2605202,406,0.4133445824188995,0.3078817733990148,58.74,PE,-17.405541758110054
2024,4311809,432,0.5138324832926287,0.4652777777777778,68.78,RS,-17.39675167073714
2024,4323358,17,0.5524093911637022,0.5294117647058824,72.6,RS,-17.359060883629766
2024,2508307,210,0.5156600866226314,0.4714285714285714,68.72,PB,-17.153991337736855
2024,4206801,35,0.5934412850539527,0.5428571428571428,76.34,SC,-16.995871494604735
2024,2515971,27,0.4637669399738589,0.4074074074074074,63.31,PB,-16.93330600261411
2024,4304705,547,0.4962872488514858,0.46617915904936014,66.52,RS,-16.891275114851418
2024,4301503,29,0.63159281547317,0.4482758620689655,80.0,RS,-16.840718452683
2024,2909109,140,0.35871386140411515,0.30714285714285716,52.66,BA,-16.78861385958848
2024,2110856,138,0.487401238280787,0.427536231884058,65.51,MA,-16.769876171921304
2024,2102507,72,0.41006299825601294,0.3194444444444444,57.7,MA,-16.693700174398707
2024,2406304,49,0.3647051902293117,0.30612244897959184,52.99,RN,-16.51948097706883
2024,4315107,70,0.5657464981481499,0.5714285714285714,73.05,RS,-16.475350185185007
2024,2414803,132,0.45798419418614095,0.44696969696969696,62.26,RN,-16.461580581385903
2024,4121356,23,0.6192285705048256,0.5652173913043478,78.33,PR,-16.407142949517436
2024,5106257,245,0.5660259721255219,0.4489795918367347,72.93,MT,-16.327402787447824
2024,2900801,250,0.34684883153815144,0.296,50.94,BA,-16.255116846184855
2024,2701506,46,0.3999611020547643,0.3695652173913043,56.21,AL,-16.213889794523567
2024,4318457,18,0.6259871341951768,0.6111111111111112,78.67,RS,-16.071286580482322
2024,1506005,452,0.45049138237142394,0.4446902654867257,61.1,PA,-16.050861762857608
2024,2514206,84,0.640330403170664,0.5952380952380952,80.0,PB,-15.966959682933592
2024,2106326,315,0.45735779310997343,0.4158730158730159,61.61,MA,-15.874220689002655
2024,4304713,48,0.6416296404553838,0.625,80.0,RS,-15.837035954461612
2024,2707800,101,0.5131985966310938,0.46534653465346537,66.92,AL,-15.600140336890625
2024,2903953,90,0.32459148905241686,0.24444444444444444,47.9,BA,-15.440851094758315
2024,4109906,105,0.5899907031450723,0.5238095238095238,74.31,PR,-15.310929685492773
2024,1708304,41,0.4287181390343347,0.3902439024390244,57.94,TO,-15.068186096566528
2024,3142809,218,0.6066825089666089,0.5688073394495413,75.58,MG,-14.911749103339105
2024,4301008,165,0.6521908689018485,0.6303030303030303,80.0,RS,-14.780913109815145
2024,2917409,102,0.5166443593932308,0.5686274509803921,66.43,BA,-14.765564060676923
2024,4309605,187,0.5787323459139567,0.5775401069518716,72.61,RS,-14.736765408604327
2024,1719004,49,0.3878744741094722,0.2857142857142857,53.31,TO,-14.522552589052786
2024,2907301,203,0.35321695619041127,0.3054187192118227,49.79,BA,-14.46830438095887
2024,4310538,53,0.47983387442183434,0.37735849056603776,62.43,RS,-14.446612557816565
2024,2923407,151,0.36788460767018427,0.3576158940397351,51.09,BA,-14.301539232981575
2024,2105427,252,0.6562931544121139,0.6031746031746031,79.93,MA,-14.300684558788618
2024,2925006,181,0.3209395205205125,0.2430939226519337,46.35,BA,-14.256047947948751
2024,5106315,36,0.5837427449128137,0.5833333333333334,72.61,MT,-14.235725508718623
2024,2906899,90,0.37817711480426147,0.35555555555555557,52.02,BA,-14.202288519573855
2024,4206603,93,0.6584527966706472,0.6021505376344086,80.0,SC,-14.154720332935284
2024,4323804,205,0.4670459371211132,0.3853658536585366,60.68,RS,-13.975406287888681
2024,2920502,179,0.43128786283258763,0.43575418994413406,57.02,BA,-13.891213716741241
2024,4305871,31,0.6612986918786664,0.6774193548387096,80.0,RS,-13.870130812133354
2024,3543204,46,0.6120567536065203,0.5869565217391305,75.04,SP,-13.834324639347969
2024,4300059,29,0.5337418795174087,0.5517241379310345,67.13,RS,-13.755812048259124
2024,2608008,131,0.42846501003992943,0.35877862595419846,56.54,PE,-13.693498996007058
2024,4106456,78,0.6492801145897146,0.6282051282051282,78.53,PR,-13.601988541028547
2024,4318408,133,0.665112683121221,0.6240601503759399,80.0,RS,-13.488731687877902
2024,1718402,45,0.5773968903735504,0.5777777777777777,71.14,TO,-13.400310962644966
2024,3551801,143,0.556167512352459,0.5244755244755245,68.93,SP,-13.313248764754107
2024,4314472,41,0.5319291249195027,0.43902439024390244,66.33,RS,-13.137087508049724
2024,1304237,296,0.3840165422786036,0.30405405405405406,51.45,AM,-13.04834577213964
2024,3506300,92,0.572079692867726,0.4782608695652174,70.21,SP,-13.002030713227398
2024,2106904,245,0.43664977648453585,0.35918367346938773,56.61,MA,-12.945022351546413
2024,5106653,74,0.5874990081732815,0.5135135135135135,71.32,MT,-12.570099182671846
2024,3304557,43411,0.4758409634058865,0.6428785330906913,60.14,RJ,-12.55590365941135
2024,2109106,429,0.4645480622662173,0.44988344988344986,58.95,MA,-12.495193773378269
2024,2504900,115,0.4792665329324817,0.4782608695652174,60.34,PB,-12.413346706751831
2024,2927200,247,0.3232845294765804,0.2793522267206478,44.71,BA,-12.381547052341965
2024,3170008,94,0.5949777866768436,0.6170212765957447,71.8,MG,-12.302221332315632
2024,2902005,83,0.3575793401349876,0.2891566265060241,47.99,BA,-12.23206598650124
2024,4320503,28,0.5096492147312861,0.4642857142857143,63.15,RS,-12.185078526871386
2024,1717008,56,0.4055360899981536,0.3392857142857143,52.73,TO,-12.176391000184637
2024,2600401,174,0.5210772466772212,0.5574712643678161,64.26,PE,-12.152275332277881
2024,1707652,62,0.5327906674173073,0.5161290322580645,65.27,TO,-11.990933258269266
2024,3507100,292,0.5959015241412857,0.5376712328767124,71.48,SP,-11.88984758587143
2024,3522158,27,0.5218928552116288,0.5185185185185185,64.03,SP,-11.840714478837128
2024,5101605,76,0.5153923101278544,0.5263157894736842,63.34,MT,-11.800768987214568
2024,1504802,732,0.46511359172468775,0.4685792349726776,58.27,PA,-11.75864082753123
2024,1501576,178,0.4998886894533744,0.5280898876404494,61.74,PA,-11.751131054662565
2024,4202081,45,0.6004540089319029,0.5555555555555556,71.69,SC,-11.644599106809707
2024,4312658,158,0.5676480931143876,0.6012658227848101,68.38,RS,-11.615190688561235
2024,4311502,40,0.499858484994142,0.45,61.56,RS,-11.574151500585806
2024,4306130,14,0.6660585243156639,0.6428571428571429,78.11,RS,-11.50414756843361
2024,4211009,104,0.5892840329263404,0.6057692307692307,70.43,SC,-11.50159670736597
2024,2904050,150,0.3499116388169014,0.34,46.43,BA,-11.438836118309858
2024,2202554,57,0.5318326897726167,0.5789473684210527,64.49,PI,-11.306731022738326
2024,2933455,121,0.4704853196002059,0.5537190082644629,58.33,BA,-11.281468039979409
2024,1705557,55,0.5377782407211571,0.5636363636363636,65.04,TO,-11.2621759278843
2024,2510709,21,0.6838093860320822,0.6666666666666666,79.59,PB,-11.209061396791782
2024,4315701,317,0.6339979085144328,0.61198738170347,74.39,RS,-10.990209148556715
2024,2905008,196,0.4550805653007433,0.47959183673469385,56.48,BA,-10.971943469925662
2024,1508084,467,0.5145229061147202,0.48822269807280516,62.31,PA,-10.857709388527987
2024,4312757,34,0.6916258317750744,0.6470588235294118,80.0,RS,-10.837416822492557
2024,2206704,48,0.4147794319299845,0.3958333333333333,52.31,PI,-10.83205680700155
2024,2207751,42,0.6919175322136482,0.6428571428571429,80.0,PI,-10.80824677863518
2024,3205309,2698,0.5747509479664376,0.7338769458858414,68.18,ES,-10.704905203356255
2024,1505635,153,0.5120913485313642,0.5686274509803921,61.89,PA,-10.680865146863582
2024,3170305,30,0.5570987108876154,0.5,66.38,MG,-10.67012891123845
2024,1506195,320,0.5095455939586147,0.546875,61.62,PA,-10.665440604138531
2024,2505279,27,0.5028153889493499,0.5555555555555556,60.93,PB,-10.648461105065017
2024,2901007,249,0.45226299650560514,0.5100401606425703,55.84,BA,-10.61370034943949
2024,3525607,60,0.6942642764211169,0.65,80.0,SP,-10.57357235788831
2024,2906709,162,0.3402397828558402,0.30864197530864196,44.57,BA,-10.546021714415978
